protocol,scenario,aggregation,group,measurements,unique_molecules,pathogens,right_censored_measurements,left_censored_measurements,double_angle_measurements,r2,mae,rmse,spearman,pearson,r2_sample_sd,mae_sample_sd,rmse_sample_sd,spearman_sample_sd,pearson_sample_sd
phylum,right_censored_multiplier_4,mean_across_groups,mean_across_groups,85809,,,15264,397,0,0.3747835170128225,0.5966901975944814,0.7591782652974387,0.6269229112260251,0.6534983361123778,0.06740724463879363,0.009144626317890954,0.012441528227338506,0.04964233291542766,0.024580634907976816
phylum,right_censored_excluded,group,0,4183,2665.0,138.0,0,7,0,0.22512922918877887,0.5092857437318375,0.6541826575467374,0.5017909214809787,0.5751291131831754,,,,,
phylum,right_censored_excluded,group,1,37147,12454.0,571.0,0,188,0,0.4390650247394243,0.5518067911644475,0.7140923353691381,0.6523199700947672,0.6747298069149907,,,,,
phylum,right_censored_excluded,group,2,29215,11959.0,597.0,0,202,0,0.3832240068689432,0.5485756506287435,0.7099131533993076,0.5946899497025726,0.6431951502234159,,,,,
phylum,right_censored_excluded,pooled,all_groups_pooled,70545,14825.0,1306.0,0,397,0,0.4139352005691127,0.5479473636761606,0.7089447521185204,0.6067681489325911,0.644657547970321,,,,,
phylum,right_censored_excluded,mean_across_groups,mean_across_groups,70545,,,0,397,0,0.3491394202657155,0.5365560618416761,0.692729382105061,0.5829336137594395,0.6310180234405274,0.11096598775033092,0.02367198248244562,0.03344777826875337,0.0759500309101249,0.05090467916095363
phylum,all_censored_excluded,group,0,4176,2661.0,138.0,0,0,0,0.2276757687268407,0.5077714228686194,0.6517019054533738,0.5035886371861651,0.5775954086118134,,,,,
phylum,all_censored_excluded,group,1,36959,12389.0,562.0,0,0,0,0.4386199972568138,0.5510462773518633,0.7121091248187286,0.6526747018735664,0.6751142572611651,,,,,
phylum,all_censored_excluded,group,2,29013,11914.0,595.0,0,0,0,0.38596084810606024,0.5468168037193063,0.7068473393763766,0.5962903570379751,0.6445991431470813,,,,,
phylum,all_censored_excluded,pooled,all_groups_pooled,70148,14759.0,1295.0,0,0,0,0.41485612728666377,0.5467207725502522,0.7064750264350872,0.6076507295509191,0.6454677495758822,,,,,
phylum,all_censored_excluded,mean_across_groups,mean_across_groups,70148,,,0,0,0,0.3507522046965716,0.5352115013132631,0.6902194565494929,0.5841845653659021,0.6324362696733532,0.1097911804999781,0.023857714487944322,0.03346076662812659,0.07527666514265706,0.04988419668419281
