protocol,scenario,aggregation,group,measurements,unique_molecules,pathogens,right_censored_measurements,left_censored_measurements,double_angle_measurements,r2,mae,rmse,spearman,pearson,r2_sample_sd,mae_sample_sd,rmse_sample_sd,spearman_sample_sd,pearson_sample_sd,r2_paper_legacy,mae_paper_legacy,rmse_paper_legacy,spearman_paper_legacy,pearson_paper_legacy,r2_multiplier_2,mae_multiplier_2,rmse_multiplier_2,spearman_multiplier_2,pearson_multiplier_2,delta_r2_vs_paper_legacy,delta_r2_vs_multiplier_2,delta_mae_vs_paper_legacy,delta_mae_vs_multiplier_2,delta_rmse_vs_paper_legacy,delta_rmse_vs_multiplier_2,delta_spearman_vs_paper_legacy,delta_spearman_vs_multiplier_2,delta_pearson_vs_paper_legacy,delta_pearson_vs_multiplier_2
phylum,right_censored_excluded,group,1,37147,12454.0,571.0,0,188,0,0.4390650247394243,0.5518067911644475,0.7140923353691381,0.6523199700947672,0.6747298069149907,,,,,,0.4171062111955476,0.5579674458245953,0.7235313080851185,0.6724138261970618,0.6790106617593594,0.41698098977196985,0.5581133303829152,0.7236563913808071,0.6722958846172594,0.6789374744093729,0.021958813543876743,0.02208403496745448,-0.006160654660147813,-0.006306539218467688,-0.009438972715980376,-0.009564056011668987,-0.020093856102294638,-0.019975914522492255,-0.004280854844368687,-0.004207667494382172
phylum,right_censored_excluded,group,2,29215,11959.0,597.0,0,202,0,0.3832240068689432,0.5485756506287435,0.7099131533993076,0.5946899497025726,0.6431951502234159,,,,,,0.437621114287692,0.5458120527654874,0.7067792359807124,0.6407721080224705,0.6628714642452199,0.4374717793658699,0.545935028176132,0.7068916375964238,0.6406002300208912,0.6627559494218308,-0.054397107418748814,-0.054247772496926694,0.0027635978632560843,0.0026406224526114297,0.0031339174185952556,0.0030215158028837896,-0.046082158319897926,-0.045910280318318564,-0.01967631402180403,-0.019560799198414913
phylum,right_censored_excluded,pooled,all_groups_pooled,70545,14825.0,1306.0,0,397,0,0.4139352005691127,0.5479473636761606,0.7089447521185204,0.6067681489325911,0.644657547970321,,,,,,0.42328018833873415,0.5512110478393716,0.7142416591493191,0.6437953752702906,0.6600577545017726,0.4231446836983592,0.5513417071513149,0.7143593453331551,0.6436494381025495,0.6599594891792239,-0.009344987769621449,-0.00920948312924652,-0.003263684163210989,-0.0033943434751543267,-0.00529690703079877,-0.0054145932146347775,-0.037027226337699504,-0.036881289169958364,-0.015400206531451577,-0.015301941208902825
phylum,right_censored_excluded,mean_across_groups,mean_across_groups,70545,,,0,397,0,0.3491394202657155,0.5365560618416761,0.692729382105061,0.5829336137594395,0.6310180234405274,0.11096598775033092,0.02367198248244562,0.03344777826875337,0.0759500309101249,0.05090467916095363,0.38807243235390954,0.5446629643580511,0.7048455442220067,0.63104700409349,0.6585668982565211,0.38793485010718104,0.5447714175556428,0.7049556425180207,0.6309195721457823,0.6584793880955719,-0.03893301208819405,-0.038795429841465556,-0.008106902516374914,-0.008215355713966699,-0.012116162116945772,-0.01222626041295971,-0.04811339033405049,-0.047985958386342786,-0.027548874815993774,-0.027461364655044562
phylum,all_censored_excluded,group,0,4176,2661.0,138.0,0,0,0,0.2276757687268407,0.5077714228686194,0.6517019054533738,0.5035886371861651,0.5775954086118134,,,,,,0.309489971578489,0.5302093944840706,0.6842260886001895,0.5799550780609374,0.6338185687649841,0.3093517811837033,0.5302658941078814,0.6843188985768311,0.5798626017991961,0.6337447404555122,-0.08181420285164831,-0.08167601245686262,-0.022437971615451135,-0.02249447123926196,-0.03252418314681571,-0.03261699312345734,-0.07636644087477229,-0.07627396461303104,-0.05622316015317075,-0.05614933184369886
phylum,all_censored_excluded,group,1,36959,12389.0,562.0,0,0,0,0.4386199972568138,0.5510462773518633,0.7121091248187286,0.6526747018735664,0.6751142572611651,,,,,,0.4171062111955476,0.5579674458245953,0.7235313080851185,0.6724138261970618,0.6790106617593594,0.41698098977196985,0.5581133303829152,0.7236563913808071,0.6722958846172594,0.6789374744093729,0.021513786061266194,0.02163900748484393,-0.006921168472732053,-0.007067053031051929,-0.011422183266389885,-0.011547266562078495,-0.01973912432349545,-0.019621182743693066,-0.0038964044981942836,-0.0038232171482077693
phylum,all_censored_excluded,group,2,29013,11914.0,595.0,0,0,0,0.38596084810606024,0.5468168037193063,0.7068473393763766,0.5962903570379751,0.6445991431470813,,,,,,0.437621114287692,0.5458120527654874,0.7067792359807124,0.6407721080224705,0.6628714642452199,0.4374717793658699,0.545935028176132,0.7068916375964238,0.6406002300208912,0.6627559494218308,-0.051660266181631775,-0.051510931259809656,0.0010047509538189114,0.0008817755431742569,6.810339566420964e-05,-4.4298220047256365e-05,-0.04448175098449547,-0.04430987298291611,-0.01827232109813859,-0.01815680627474947
phylum,all_censored_excluded,pooled,all_groups_pooled,70148,14759.0,1295.0,0,0,0,0.41485612728666377,0.5467207725502522,0.7064750264350872,0.6076507295509191,0.6454677495758822,,,,,,0.42328018833873415,0.5512110478393716,0.7142416591493191,0.6437953752702906,0.6600577545017726,0.4231446836983592,0.5513417071513149,0.7143593453331551,0.6436494381025495,0.6599594891792239,-0.008424061052070386,-0.008288556411695458,-0.004490275289119383,-0.004620934601062721,-0.007766632714231947,-0.007884318898067955,-0.03614464571937148,-0.03599870855163034,-0.014590004925890465,-0.014491739603341713
phylum,all_censored_excluded,mean_across_groups,mean_across_groups,70148,,,0,0,0,0.3507522046965716,0.5352115013132631,0.6902194565494929,0.5841845653659021,0.6324362696733532,0.1097911804999781,0.023857714487944322,0.03346076662812659,0.07527666514265706,0.04988419668419281,0.38807243235390954,0.5446629643580511,0.7048455442220067,0.63104700409349,0.6585668982565211,0.38793485010718104,0.5447714175556428,0.7049556425180207,0.6309195721457823,0.6584793880955719,-0.037320227657337945,-0.03718264541060945,-0.009451463044787944,-0.009559916242379729,-0.014626087672513832,-0.01473618596852777,-0.046862438727587885,-0.046735006779880184,-0.026130628583167947,-0.026043118422218736
strain,paper_legacy,group,0,71419,15892.0,431.0,12423,286,14,0.41380215908332696,0.5536151569261932,0.7138597898110787,0.6323248775859809,0.6457931735938808,,,,,,0.41380215908332696,0.5536151569261932,0.7138597898110787,0.6323248775859809,0.6457931735938808,0.41371892617083417,0.5536954023448847,0.7139150781931262,0.6322275077534504,0.6457251562859604,0.0,8.323291249279219e-05,0.0,-8.024541869144919e-05,0.0,-5.5288382047491424e-05,0.0,9.73698325305028e-05,0.0,6.801730792038718e-05
strain,paper_legacy,group,1,8146,5292.0,412.0,1129,49,0,0.6837493199500865,0.4211080911098371,0.5713910781489364,0.8323597111118026,0.8325692826923179,,,,,,0.6837493199500865,0.4211080911098371,0.5713910781489364,0.8323597111118026,0.8325692826923179,0.6837071004000594,0.4212928627742515,0.5715884441081335,0.832358189088092,0.8325674106363786,0.0,4.2219550027033925e-05,0.0,-0.00018477166441438486,0.0,-0.00019736595919706001,0.0,1.5220237106206014e-06,0.0,1.8720559392670921e-06
strain,paper_legacy,group,2,6793,4742.0,419.0,1387,65,4,0.6467269101135311,0.4182584466853915,0.5587078002459894,0.7790134368093543,0.8044381045705238,,,,,,0.6467269101135311,0.4182584466853915,0.5587078002459894,0.7790134368093543,0.8044381045705238,0.6464444085854137,0.418270062134145,0.5587068463629327,0.7787763212573332,0.8042668852624334,0.0,0.0002825015281173737,0.0,-1.161544875349918e-05,0.0,9.538830567645817e-07,0.0,0.00023711555202110546,0.0,0.00017121930809038677
