species,atcc_number,accepted_name,strain_designation,biosafety_level,has_genome,genome_url,type_strain,web_available,isolation_source,category
Pantoea agglomerans,49012,Pantoea agglomerans,RR 87-131,BSL 1,False,,False,True,Plant-derived foodstuff,Bacteria
Pantoea agglomerans,49016,Pantoea agglomerans,RR 87-164,BSL 1,True,https://genomes.atcc.org/genomes/391b74a6919d41d6,False,True,Plant-derived foodstuff,Bacteria
Pantoea agglomerans,49008,Pantoea agglomerans,RR 87-162,BSL 1,False,,False,True,Plant-derived foodstuff,Bacteria
Pantoea agglomerans,49174,Pantoea agglomerans,CL63,BSL 1,True,https://genomes.atcc.org/genomes/ad29a09054224525,True,True,"Soybean leaves, Glycine max",Bacteria
Pantoea agglomerans,27988,Pantoea agglomerans,CDC 1377-71,BSL 1,False,,False,True,Urine,Bacteria
Pantoea agglomerans,43348,Pantoea agglomerans,UCRDAC 1184-13,BSL 1,True,https://genomes.atcc.org/genomes/9a9eb60358044d31,False,True,Gypsophila paniculata galls,Bacteria
Pantoea agglomerans,49020,Pantoea agglomerans,RR 87-142,BSL 1,True,https://genomes.atcc.org/genomes/9eafb9d883ec441a,False,True,Plant-derived foodstuff,Bacteria
Pantoea agglomerans,49021,Pantoea agglomerans,RR 88-25,BSL 1,True,https://genomes.atcc.org/genomes/0adfb8aad1fc4fad,False,True,Plant-derived foodstuff,Bacteria
Pantoea agglomerans,49019,Pantoea agglomerans,RR 87-133,BSL 1,True,https://genomes.atcc.org/genomes/8b716d1d44e24397,False,True,Plant-derived foodstuff,Bacteria
Pantoea agglomerans,49018,Pantoea agglomerans,RR 88-34,BSL 1,True,https://genomes.atcc.org/genomes/37b81eec6ec94d16,False,True,Plant-derived foodstuff,Bacteria
Pantoea agglomerans,29904,Pantoea agglomerans,CDC 6003-71 [E1240],BSL 1,True,https://genomes.atcc.org/genomes/a75eca9d69094d0f,False,True,,Bacteria
Pantoea agglomerans,27155,Pantoea agglomerans,"CDC 1461-67 [CCUG 539, CFBP 3845, CIP 57.51, DSM 3493, ICMP 12534, ICPB 3435, JCM 1236, LMG 1286, NCTC 9381; Graham Price]",BSL 1,True,https://genomes.atcc.org/genomes/5c756d5547ed438d,True,True,Knee laceration,Bacteria
Pantoea agglomerans,27994,Pantoea agglomerans,CDC 3072-74,BSL 1,False,,False,True,,Bacteria
Pantoea agglomerans,27999,Pantoea agglomerans,CDC 156-74,BSL 1,False,,False,True,,Bacteria
Pantoea agglomerans,27997,Pantoea agglomerans,CDC 1551-74,BSL 1,False,,False,True,,Bacteria
